DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2017,124997,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2018,130225,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2019,126221,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2020,109376,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2021,116769,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2022,122123,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2023,123963,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2012,19986,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2013,20679,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2014,16020,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2015,15733,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2016,16445,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2017,16931,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2018,17562,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2019,18598,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2020,14200,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2021,13244,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2022,21118,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2023,26979,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2012,46106,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2013,25894,b,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2014,28468,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2015,25684,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2016,38864,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2017,27316,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2018,26742,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2019,77798,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2020,35854,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2021,18630,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2022,31764,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2023,53639,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2012,240001,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2013,259328,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2014,311230,e,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2015,315882,e,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2016,514560,e,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2017,511185,e,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2018,470500,e,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2019,491500,e,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2020,398905,e,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2021,453812,e,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2022,448534,e,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Germany,2023,574155,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2012,43663,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2013,43310,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2014,44426,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2015,44625,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2016,52654,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2017,56403,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2018,60381,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2019,66520,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2020,53822,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2021,44008,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2022,62927,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2023,68172,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2012,6321,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2013,6740,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2014,4637,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2015,13003,b,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2016,13792,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2017,12358,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2018,10476,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2019,12801,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2020,12427,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2021,12481,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2022,9657,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2023,12543,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2012,124694,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2013,117094,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2014,106804,b,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2015,109351,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2016,106535,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2017,103327,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2018,103049,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2019,95020,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2020,77837,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2021,79596,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2022,80307,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Greece,2023,76158,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2012,446606,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2013,532303,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2014,400430,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2015,343875,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2016,327325,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2017,368860,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2018,309526,,
