DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,age,asyl_app,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Switzerland,2024-07,2250,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Switzerland,2024-08,2205,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Switzerland,2024-09,2355,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Switzerland,2024-10,2585,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Switzerland,2024-11,2315,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Switzerland,2024-12,1850,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Switzerland,2025-01,1900,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Switzerland,2025-02,1755,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Cyprus,2024-04,1815,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Cyprus,2024-05,480,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Cyprus,2024-06,330,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Cyprus,2024-07,390,,
ESTAT:TPS00189(1.0),09/04/25 23:00:00,Monthly,Person,Extra-EU27 (from 2020),Total,Total,Asylum applicant,Cyprus,2024-08,390,,
